STATISTIC Label,Month,Taxation_Class,UNIT,VALUE
Vehicles Licensed for the First Time,2019M01,All_Vehicles,Number,36756
Vehicles Licensed for the First Time,2019M01,New_Vehicles,Number,26374
Vehicles Licensed for the First Time,2019M01,New_Private_Cars,Number,22279
Vehicles Licensed for the First Time,2019M01,New Goods Vehicles,Number,2690
Vehicles Licensed for the First Time,2019M01,New_Tractors,Number,292
Vehicles Licensed for the First Time,2019M01,New Motor_Cycles,Number,166
Vehicles Licensed for the First Time,2019M01,New_Exempt_Vehicles,Number,772
Vehicles Licensed for the First Time,2019M01,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",Number,175
Vehicles Licensed for the First Time,2019M01,Secondhand_Vehicles,Number,10382
Vehicles Licensed for the First Time,2019M01,Secondhand_Private_Cars,Number,8131
Vehicles Licensed for the First Time,2019M01,Secondhand_Goods_Vehicles,Number,1313
Vehicles Licensed for the First Time,2019M01,Secondhand_Tractors,Number,227
Vehicles Licensed for the First Time,2019M01,Secondhand_Other_Vehicles,Number,472
Vehicles Licensed for the First Time,2019M01,Secondhand_Motor_Cycles,Number,239
Vehicles Licensed for the First Time,2019M02,All_Vehicles,Number,28921
Vehicles Licensed for the First Time,2019M02,New_Vehicles,Number,18171
Vehicles Licensed for the First Time,2019M02,New_Private_Cars,Number,14178
Vehicles Licensed for the First Time,2019M02,New Goods Vehicles,Number,2736
Vehicles Licensed for the First Time,2019M02,New_Tractors,Number,198
Vehicles Licensed for the First Time,2019M02,New Motor_Cycles,Number,153
Vehicles Licensed for the First Time,2019M02,New_Exempt_Vehicles,Number,742
Vehicles Licensed for the First Time,2019M02,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",Number,164
Vehicles Licensed for the First Time,2019M02,Secondhand_Vehicles,Number,10750
Vehicles Licensed for the First Time,2019M02,Secondhand_Private_Cars,Number,8674
Vehicles Licensed for the First Time,2019M02,Secondhand_Goods_Vehicles,Number,1203
Vehicles Licensed for the First Time,2019M02,Secondhand_Tractors,Number,207
Vehicles Licensed for the First Time,2019M02,Secondhand_Other_Vehicles,Number,436
Vehicles Licensed for the First Time,2019M02,Secondhand_Motor_Cycles,Number,230
Vehicles Licensed for the First Time,2019M03,All_Vehicles,Number,29547
Vehicles Licensed for the First Time,2019M03,New_Vehicles,Number,18144
Vehicles Licensed for the First Time,2019M03,New_Private_Cars,Number,14404
Vehicles Licensed for the First Time,2019M03,New Goods Vehicles,Number,2505
Vehicles Licensed for the First Time,2019M03,New_Tractors,Number,231
Vehicles Licensed for the First Time,2019M03,New Motor_Cycles,Number,194
Vehicles Licensed for the First Time,2019M03,New_Exempt_Vehicles,Number,661
Vehicles Licensed for the First Time,2019M03,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",Number,149
Vehicles Licensed for the First Time,2019M03,Secondhand_Vehicles,Number,11403
Vehicles Licensed for the First Time,2019M03,Secondhand_Private_Cars,Number,9101
Vehicles Licensed for the First Time,2019M03,Secondhand_Goods_Vehicles,Number,1219
Vehicles Licensed for the First Time,2019M03,Secondhand_Tractors,Number,220
Vehicles Licensed for the First Time,2019M03,Secondhand_Other_Vehicles,Number,556
Vehicles Licensed for the First Time,2019M03,Secondhand_Motor_Cycles,Number,307
Vehicles Licensed for the First Time,2019M04,All_Vehicles,Number,28603
Vehicles Licensed for the First Time,2019M04,New_Vehicles,Number,17339
Vehicles Licensed for the First Time,2019M04,New_Private_Cars,Number,13794
Vehicles Licensed for the First Time,2019M04,New Goods Vehicles,Number,2334
Vehicles Licensed for the First Time,2019M04,New_Tractors,Number,221
Vehicles Licensed for the First Time,2019M04,New Motor_Cycles,Number,192
Vehicles Licensed for the First Time,2019M04,New_Exempt_Vehicles,Number,585
Vehicles Licensed for the First Time,2019M04,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",Number,213
Vehicles Licensed for the First Time,2019M04,Secondhand_Vehicles,Number,11264
Vehicles Licensed for the First Time,2019M04,Secondhand_Private_Cars,Number,8728
Vehicles Licensed for the First Time,2019M04,Secondhand_Goods_Vehicles,Number,1334
Vehicles Licensed for the First Time,2019M04,Secondhand_Tractors,Number,232
Vehicles Licensed for the First Time,2019M04,Secondhand_Other_Vehicles,Number,604
Vehicles Licensed for the First Time,2019M04,Secondhand_Motor_Cycles,Number,366
Vehicles Licensed for the First Time,2019M05,All_Vehicles,Number,24783
Vehicles Licensed for the First Time,2019M05,New_Vehicles,Number,12863
Vehicles Licensed for the First Time,2019M05,New_Private_Cars,Number,9126
Vehicles Licensed for the First Time,2019M05,New Goods Vehicles,Number,2514
Vehicles Licensed for the First Time,2019M05,New_Tractors,Number,264
Vehicles Licensed for the First Time,2019M05,New Motor_Cycles,Number,214
Vehicles Licensed for the First Time,2019M05,New_Exempt_Vehicles,Number,491
Vehicles Licensed for the First Time,2019M05,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",Number,254
Vehicles Licensed for the First Time,2019M05,Secondhand_Vehicles,Number,11920
Vehicles Licensed for the First Time,2019M05,Secondhand_Private_Cars,Number,9062
Vehicles Licensed for the First Time,2019M05,Secondhand_Goods_Vehicles,Number,1385
Vehicles Licensed for the First Time,2019M05,Secondhand_Tractors,Number,295
Vehicles Licensed for the First Time,2019M05,Secondhand_Other_Vehicles,Number,722
Vehicles Licensed for the First Time,2019M05,Secondhand_Motor_Cycles,Number,456
Vehicles Licensed for the First Time,2019M06,All_Vehicles,Number,16471
Vehicles Licensed for the First Time,2019M06,New_Vehicles,Number,6078
Vehicles Licensed for the First Time,2019M06,New_Private_Cars,Number,3858
Vehicles Licensed for the First Time,2019M06,New Goods Vehicles,Number,1526
Vehicles Licensed for the First Time,2019M06,New_Tractors,Number,155
Vehicles Licensed for the First Time,2019M06,New Motor_Cycles,Number,143
Vehicles Licensed for the First Time,2019M06,New_Exempt_Vehicles,Number,208
